supplier_key,supplier_code,supplier_name,supplier_type,contact_person,phone,email,website,address_line1,address_line2,city,state,postal_code,country,tax_id,payment_terms,lead_time_days,minimum_order_value,credit_limit,quality_rating,delivery_rating,is_preferred,is_active,current_flag,effective_from,effective_to,row_created_date,row_updated_date
11,SPLR0011,Supplier 11,Wholesaler,Person 11,+91-9420452650,supplier11@example.com,https://supplier11.com,11 Market Street,Building 41,Chennai,Tamil Nadu,308573,India,TAXID00011,Net 30,16,4050.04,292720.56,4.56,4.06,0,1,1,11/6/2023,2/21/2025,10/28/2025,10/28/2025
12,SPLR0012,Supplier 12,Distributor,Person 12,+91-9120912992,supplier12@example.com,https://supplier12.com,12 Market Street,Building 8,Bangalore,Karnataka,351083,India,TAXID00012,Net 30,12,4512.04,476127.25,3.17,3.97,0,1,1,5/11/2024,,10/28/2025,10/28/2025
13,SPLR0013,Supplier 13,Manufacturer,Person 13,+91-9808402051,supplier13@example.com,https://supplier13.com,13 Market Street,Building 31,Chennai,Delhi,377932,India,TAXID00013,Net 60,24,2692.55,145309.19,4.08,4.46,0,1,1,12/27/2023,5/3/2025,10/28/2025,10/28/2025
14,SPLR0014,Supplier 14,Distributor,Person 14,+91-9821218382,supplier14@example.com,https://supplier14.com,14 Market Street,Building 42,Bangalore,Telangana,642717,India,TAXID00014,Net 45,8,1991.62,78811.65,3.04,4.11,0,1,1,12/31/2024,,10/28/2025,10/28/2025
15,SPLR0015,Supplier 15,Wholesaler,Person 15,+91-9777641645,supplier15@example.com,https://supplier15.com,15 Market Street,Building 4,Delhi,Maharashtra,132938,India,TAXID00015,Net 45,7,3056.62,175314.77,3.97,4.08,1,1,1,1/15/2021,3/28/2022,10/28/2025,10/28/2025
16,SPLR0016,Supplier 16,Distributor,Person 16,+91-9304451095,supplier16@example.com,https://supplier16.com,16 Market Street,Building 7,Mumbai,Telangana,471507,India,TAXID00016,Net 45,18,2868.1,378084.13,4.35,4.97,0,1,1,5/13/2022,9/8/2024,10/28/2025,10/28/2025
17,SPLR0017,Supplier 17,Wholesaler,Person 17,+91-9464323393,supplier17@example.com,https://supplier17.com,17 Market Street,Building 7,Delhi,Delhi,299448,India,TAXID00017,Net 60,19,1560.73,132569.62,3.93,4.75,0,1,1,5/5/2021,6/21/2023,10/28/2025,10/28/2025
18,SPLR0018,Supplier 18,Manufacturer,Person 18,+91-9154318806,supplier18@example.com,https://supplier18.com,18 Market Street,Building 42,Chennai,Maharashtra,197793,India,TAXID00018,Net 30,10,2625.66,266611.29,4.73,4.8,0,1,1,6/27/2023,,10/28/2025,10/28/2025
19,SPLR0019,Supplier 19,Distributor,Person 19,+91-9384759615,supplier19@example.com,https://supplier19.com,19 Market Street,Building 30,Bangalore,Telangana,830429,India,TAXID00019,Net 60,30,3223.07,373283.72,3.31,3.59,0,1,1,2/16/2023,2/18/2024,10/28/2025,10/28/2025
20,SPLR0020,Supplier 20,Manufacturer,Person 20,+91-9903132646,supplier20@example.com,https://supplier20.com,20 Market Street,Building 21,Mumbai,Maharashtra,712554,India,TAXID00020,Net 45,21,4677.55,289006.76,3.11,4.02,0,1,1,4/1/2024,,10/28/2025,10/28/2025
21,SPLR0021,Supplier 21,Manufacturer,Person 21,+91-9825003955,supplier21@example.com,https://supplier21.com,21 Market Street,Building 16,Hyderabad,Maharashtra,697347,India,TAXID00021,Net 30,23,3378.08,328721.68,3.84,4.17,1,1,1,5/21/2021,1/20/2024,10/28/2025,10/28/2025
22,SPLR0022,Supplier 22,Wholesaler,Person 22,+91-9869005091,supplier22@example.com,https://supplier22.com,22 Market Street,Building 21,Delhi,Karnataka,515011,India,TAXID00022,Net 30,26,3582,255751.06,4.86,4.87,0,1,1,6/19/2022,1/14/2024,10/28/2025,10/28/2025
23,SPLR0023,Supplier 23,Wholesaler,Person 23,+91-9207354053,supplier23@example.com,https://supplier23.com,23 Market Street,Building 5,Chennai,Delhi,630458,India,TAXID00023,Net 45,9,4733.04,446388.88,4.76,3.74,0,1,1,7/28/2023,,10/28/2025,10/28/2025
24,SPLR0024,Supplier 24,Wholesaler,Person 24,+91-9424825305,supplier24@example.com,https://supplier24.com,24 Market Street,Building 40,Chennai,Maharashtra,800305,India,TAXID00024,Net 60,14,4727.02,96613.93,4.76,3.53,0,1,1,6/17/2023,12/24/2025,10/28/2025,10/28/2025
25,SPLR0025,Supplier 25,Distributor,Person 25,+91-9402533494,supplier25@example.com,https://supplier25.com,25 Market Street,Building 39,Delhi,Karnataka,313487,India,TAXID00025,Net 60,25,4411.65,277434.08,3.5,4.82,0,1,1,2/8/2024,7/16/2025,10/28/2025,10/28/2025
26,SPLR0026,Supplier 26,Distributor,Person 26,+91-9990505735,supplier26@example.com,https://supplier26.com,26 Market Street,Building 18,Mumbai,Maharashtra,449759,India,TAXID00026,Net 30,25,4919.19,122711.89,3.88,4.41,0,1,1,7/9/2021,4/18/2024,10/28/2025,10/28/2025
27,SPLR0027,Supplier 27,Wholesaler,Person 27,+91-9260045822,supplier27@example.com,https://supplier27.com,27 Market Street,Building 35,Mumbai,Karnataka,710805,India,TAXID00027,Net 60,9,2719.15,68822.99,3.73,4.87,0,1,1,8/18/2021,11/3/2022,10/28/2025,10/28/2025
28,SPLR0028,Supplier 28,Wholesaler,Person 28,+91-9367930513,supplier28@example.com,https://supplier28.com,28 Market Street,Building 43,Mumbai,Karnataka,918011,India,TAXID00028,Net 60,18,4895.35,387264.93,4.85,3.47,0,1,1,1/3/2023,8/5/2024,10/28/2025,10/28/2025
29,SPLR0029,Supplier 29,Manufacturer,Person 29,+91-9292587044,supplier29@example.com,https://supplier29.com,29 Market Street,Building 48,Bangalore,Telangana,941204,India,TAXID00029,Net 60,28,4243,170062.57,4.57,3.22,0,1,1,12/29/2021,2/24/2024,10/28/2025,10/28/2025
30,SPLR0030,Supplier 30,Manufacturer,Person 30,+91-9976803188,supplier30@example.com,https://supplier30.com,30 Market Street,Building 30,Bangalore,Karnataka,960394,India,TAXID00030,Net 30,12,1094.66,136908.4,3.66,4.73,1,1,1,8/22/2023,4/5/2025,10/28/2025,10/28/2025
31,SPLR0031,Supplier 31,Wholesaler,Person 31,+91-9529151399,supplier31@example.com,https://supplier31.com,31 Market Street,Building 44,Chennai,Karnataka,128941,India,TAXID00031,Net 30,13,1714.27,483140.44,3.53,3.22,1,1,1,12/21/2022,10/7/2025,10/28/2025,10/28/2025
32,SPLR0032,Supplier 32,Distributor,Person 32,+91-9750911797,supplier32@example.com,https://supplier32.com,32 Market Street,Building 33,Mumbai,Telangana,704596,India,TAXID00032,Net 30,13,1177.55,246225.88,4.04,4.61,0,1,1,12/9/2022,10/25/2024,10/28/2025,10/28/2025
33,SPLR0033,Supplier 33,Manufacturer,Person 33,+91-9813219781,supplier33@example.com,https://supplier33.com,33 Market Street,Building 22,Chennai,Karnataka,795612,India,TAXID00033,Net 30,28,4600.19,278205.13,4.33,3.65,1,1,1,1/16/2023,4/1/2025,10/28/2025,10/28/2025
34,SPLR0034,Supplier 34,Manufacturer,Person 34,+91-9551450815,supplier34@example.com,https://supplier34.com,34 Market Street,Building 43,Hyderabad,Delhi,745414,India,TAXID00034,Net 60,14,2624.3,425176.33,3.61,3.42,1,1,1,2/10/2024,6/19/2025,10/28/2025,10/28/2025
35,SPLR0035,Supplier 35,Distributor,Person 35,+91-9825449223,supplier35@example.com,https://supplier35.com,35 Market Street,Building 14,Chennai,Telangana,932291,India,TAXID00035,Net 60,10,3635.4,177703.88,4.33,4.24,0,1,1,8/11/2023,11/5/2025,10/28/2025,10/28/2025
36,SPLR0036,Supplier 36,Distributor,Person 36,+91-9341206079,supplier36@example.com,https://supplier36.com,36 Market Street,Building 13,Delhi,Maharashtra,148458,India,TAXID00036,Net 30,20,3445.1,395820.2,3.91,4.77,0,1,1,4/27/2022,3/15/2025,10/28/2025,10/28/2025
37,SPLR0037,Supplier 37,Distributor,Person 37,+91-9529123992,supplier37@example.com,https://supplier37.com,37 Market Street,Building 16,Delhi,Maharashtra,887443,India,TAXID00037,Net 30,29,2700.58,129149.01,4.92,4.04,0,1,1,11/27/2024,,10/28/2025,10/28/2025
38,SPLR0038,Supplier 38,Manufacturer,Person 38,+91-9590122159,supplier38@example.com,https://supplier38.com,38 Market Street,Building 9,Hyderabad,Tamil Nadu,686075,India,TAXID00038,Net 60,15,4800.16,451141.67,4.23,4.44,1,1,1,2/16/2024,10/28/2025,10/28/2025,10/28/2025
39,SPLR0039,Supplier 39,Manufacturer,Person 39,+91-9898493949,supplier39@example.com,https://supplier39.com,39 Market Street,Building 31,Hyderabad,Karnataka,888295,India,TAXID00039,Net 30,25,2109.25,399953.68,3.97,3.48,1,1,1,1/28/2024,,10/28/2025,10/28/2025
40,SPLR0040,Supplier 40,Distributor,Person 40,+91-9351785565,supplier40@example.com,https://supplier40.com,40 Market Street,Building 18,Bangalore,Karnataka,666390,India,TAXID00040,Net 30,9,1603.32,222365.88,3.31,3.43,1,1,1,6/8/2021,6/7/2024,10/28/2025,10/28/2025
41,SPLR0041,Supplier 41,Wholesaler,Person 41,+91-9600282414,supplier41@example.com,https://supplier41.com,41 Market Street,Building 27,Mumbai,Delhi,973349,India,TAXID00041,Net 45,17,4619.35,312835.74,4.39,4.71,1,1,1,4/15/2023,3/18/2025,10/28/2025,10/28/2025
42,SPLR0042,Supplier 42,Distributor,Person 42,+91-9420632895,supplier42@example.com,https://supplier42.com,42 Market Street,Building 49,Hyderabad,Telangana,664365,India,TAXID00042,Net 60,28,3184.53,321463.67,3.44,3.44,1,1,1,9/4/2023,9/9/2024,10/28/2025,10/28/2025
43,SPLR0043,Supplier 43,Distributor,Person 43,+91-9460916347,supplier43@example.com,https://supplier43.com,43 Market Street,Building 43,Hyderabad,Delhi,981334,India,TAXID00043,Net 45,9,4922.89,290355.63,4.81,4.18,0,1,1,9/22/2023,10/20/2024,10/28/2025,10/28/2025
44,SPLR0044,Supplier 44,Distributor,Person 44,+91-9245706210,supplier44@example.com,https://supplier44.com,44 Market Street,Building 30,Delhi,Maharashtra,372793,India,TAXID00044,Net 45,15,1846.64,197080.61,4.52,3.76,1,1,1,6/21/2021,4/9/2024,10/28/2025,10/28/2025
45,SPLR0045,Supplier 45,Distributor,Person 45,+91-9120812641,supplier45@example.com,https://supplier45.com,45 Market Street,Building 48,Chennai,Maharashtra,466960,India,TAXID00045,Net 30,25,1274.47,480778.52,3.08,3.06,0,1,1,6/1/2022,8/23/2023,10/28/2025,10/28/2025
46,SPLR0046,Supplier 46,Wholesaler,Person 46,+91-9263619298,supplier46@example.com,https://supplier46.com,46 Market Street,Building 16,Delhi,Telangana,801978,India,TAXID00046,Net 30,23,4791.03,259265.29,3.51,3.74,0,1,1,2/13/2022,3/5/2023,10/28/2025,10/28/2025
47,SPLR0047,Supplier 47,Manufacturer,Person 47,+91-9721358005,supplier47@example.com,https://supplier47.com,47 Market Street,Building 2,Bangalore,Tamil Nadu,810250,India,TAXID00047,Net 45,17,4765.88,139248.4,4.18,4.66,0,1,1,12/2/2021,10/16/2023,10/28/2025,10/28/2025
48,SPLR0048,Supplier 48,Distributor,Person 48,+91-9834717549,supplier48@example.com,https://supplier48.com,48 Market Street,Building 39,Mumbai,Tamil Nadu,920652,India,TAXID00048,Net 30,16,3130.98,347684.6,3.14,4.3,0,1,1,7/28/2021,7/10/2024,10/28/2025,10/28/2025
49,SPLR0049,Supplier 49,Manufacturer,Person 49,+91-9565492204,supplier49@example.com,https://supplier49.com,49 Market Street,Building 24,Hyderabad,Delhi,556641,India,TAXID00049,Net 30,28,3086.99,342705.84,4.23,4.84,1,1,1,5/11/2023,9/23/2025,10/28/2025,10/28/2025
50,SPLR0050,Supplier 50,Wholesaler,Person 50,+91-9736164778,supplier50@example.com,https://supplier50.com,50 Market Street,Building 18,Bangalore,Delhi,971084,India,TAXID00050,Net 30,13,4526.52,159738.55,3.93,4.22,1,1,1,8/11/2023,10/30/2025,10/28/2025,10/28/2025
