date_key,store_key,currency_key,product_key,posting_id,journal_entry_id,gl_account_code,gl_account_name,cost_center,amount_local,amount_group,fx_rate,debit_credit_flag,account_type,account_category,financial_statement,posting_date,posting_period,fiscal_year,fiscal_period,posting_description,reference_document,source_system,posted_by,load_date
20210111,10,5,,POST2021010006D,JRN2021010006,101000,Accounts Receivable - Trade,CC-151,351264.07,4566.43,0.013,D,Asset,Asset - Trade,Balance Sheet,2021-01-11,202101,2021,1,Sales revenue posting (Accounts Receivable - Trade),PO2021018751,AutoBatch,system_bot,2021-01-11 00:00:00
20210111,10,5,,POST2021010006C,JRN2021010006,400000,Sales Revenue - Domestic,CC-149,1414821.0261582872,18392.66161916301,0.013,C,Revenue,Revenue - Domestic,P&L,2021-01-11,202101,2021,1,Sales revenue posting (Sales Revenue - Domestic),PO2021018751,AutoBatch,system_bot,2021-01-11 00:00:00
20210119,12,5,,POST2021010007D,JRN2021010007,102000,Cash & Cash Equivalents,CC-152,211698.72,2752.08,0.013,D,Asset,Asset - Cash & Cash Equivalents,Cash Flow,2021-01-19,202101,2021,1,Customer payment received (Cash & Cash Equivalents),ORD2021013110,AutoBatch,fin_user31,2021-01-22 00:00:00
20210119,12,5,,POST2021010007C,JRN2021010007,101000,Accounts Receivable - Trade,CC-140,211698.72,2752.08,0.013,C,Asset,Asset - Trade,Balance Sheet,2021-01-19,202101,2021,1,Customer payment received (Accounts Receivable - Trade),ORD2021013110,AutoBatch,fin_user31,2021-01-22 00:00:00
20210113,13,4,,POST2021010008D,JRN2021010008,503000,Payroll Expense - Store Ops,CC-146,584293.82,7595.82,0.013,D,Expense,Expense - Store Ops,P&L,2021-01-13,202101,2021,1,Payroll disbursement (Payroll Expense - Store Ops),ORD2021018926,AutoBatch,system_bot,2021-01-11 00:00:00
20210113,13,4,,POST2021010008C,JRN2021010008,102000,Cash & Cash Equivalents,CC-193,584293.82,7595.82,0.013,C,Asset,Asset - Cash & Cash Equivalents,Cash Flow,2021-01-13,202101,2021,1,Payroll disbursement (Cash & Cash Equivalents),ORD2021018926,AutoBatch,system_bot,2021-01-11 00:00:00
20210118,3,1,,POST2021010009D,JRN2021010009,102000,Cash & Cash Equivalents,CC-151,860123.32,11181.6,0.013,D,Asset,Asset - Cash & Cash Equivalents,Cash Flow,2021-01-18,202101,2021,1,Customer payment received (Cash & Cash Equivalents),ORD2021011051,ERP,system_bot,2021-01-19 00:00:00
20210118,3,1,,POST2021010009C,JRN2021010009,101000,Accounts Receivable - Trade,CC-116,860123.32,11181.6,0.013,C,Asset,Asset - Trade,Balance Sheet,2021-01-18,202101,2021,1,Customer payment received (Accounts Receivable - Trade),ORD2021011051,ERP,system_bot,2021-01-19 00:00:00
20210111,8,3,,POST2021010010D,JRN2021010010,501000,Freight Expense - Inbound,CC-154,126328.84,1642.27,0.013,D,Expense,Expense - Inbound,P&L,2021-01-11,202101,2021,1,Inbound freight accrual (Freight Expense - Inbound),RC20210190278,Finance,fin_user10,2021-01-14 00:00:00
20210111,8,3,,POST2021010010C,JRN2021010010,200000,Accounts Payable - Trade,CC-195,126328.84,1642.27,0.013,C,Liability,Liability - Trade,Balance Sheet,2021-01-11,202101,2021,1,Inbound freight accrual (Accounts Payable - Trade),RC20210190278,Finance,fin_user10,2021-01-14 00:00:00
20210113,1,1,,POST2021010011D,JRN2021010011,102000,Cash & Cash Equivalents,CC-181,402752.81,5235.79,0.013,D,Asset,Asset - Cash & Cash Equivalents,Cash Flow,2021-01-13,202101,2021,1,Customer payment received (Cash & Cash Equivalents),RC20210199311,Consolidation,fin_user08,2021-01-12 00:00:00
20210113,1,1,,POST2021010011C,JRN2021010011,101000,Accounts Receivable - Trade,CC-177,402752.81,5235.79,0.013,C,Asset,Asset - Trade,Balance Sheet,2021-01-13,202101,2021,1,Customer payment received (Accounts Receivable - Trade),RC20210199311,Consolidation,fin_user08,2021-01-12 00:00:00
20210119,3,1,,POST2021010012D,JRN2021010012,503000,Payroll Expense - Store Ops,CC-175,564163.6,7334.13,0.013,D,Expense,Expense - Store Ops,P&L,2021-01-19,202101,2021,1,Payroll disbursement (Payroll Expense - Store Ops),PO2021011919,ERP,system_bot,2021-01-18 00:00:00
20210119,3,1,,POST2021010012C,JRN2021010012,102000,Cash & Cash Equivalents,CC-193,564163.6,7334.13,0.013,C,Asset,Asset - Cash & Cash Equivalents,Cash Flow,2021-01-19,202101,2021,1,Payroll disbursement (Cash & Cash Equivalents),PO2021011919,ERP,system_bot,2021-01-18 00:00:00
20210115,17,3,,POST2021010013D,JRN2021010013,101000,Accounts Receivable - Trade,CC-104,876517.45,11394.73,0.013,D,Asset,Asset - Trade,Balance Sheet,2021-01-15,202101,2021,1,Sales revenue posting (Accounts Receivable - Trade),ORD2021013651,Consolidation,system_bot,2021-01-17 00:00:00
20210115,17,3,,POST2021010013C,JRN2021010013,400000,Sales Revenue - Domestic,CC-186,3803091.7277667583,49440.20612839564,0.013,C,Revenue,Revenue - Domestic,P&L,2021-01-15,202101,2021,1,Sales revenue posting (Sales Revenue - Domestic),ORD2021013651,Consolidation,system_bot,2021-01-17 00:00:00
20210111,6,4,,POST2021010014D,JRN2021010014,102000,Cash & Cash Equivalents,CC-195,327272.25,4254.54,0.013,D,Asset,Asset - Cash & Cash Equivalents,Cash Flow,2021-01-11,202101,2021,1,Customer payment received (Cash & Cash Equivalents),PO2021013744,AutoBatch,fin_user30,2021-01-09 00:00:00
20210111,6,4,,POST2021010014C,JRN2021010014,101000,Accounts Receivable - Trade,CC-152,327272.25,4254.54,0.013,C,Asset,Asset - Trade,Balance Sheet,2021-01-11,202101,2021,1,Customer payment received (Accounts Receivable - Trade),PO2021013744,AutoBatch,fin_user30,2021-01-09 00:00:00
20210119,7,3,,POST2021010015D,JRN2021010015,503000,Payroll Expense - Store Ops,CC-106,96801.63,1258.42,0.013,D,Expense,Expense - Store Ops,P&L,2021-01-19,202101,2021,1,Payroll disbursement (Payroll Expense - Store Ops),ORD2021017970,Consolidation,system_bot,2021-01-22 00:00:00
20210119,7,3,,POST2021010015C,JRN2021010015,102000,Cash & Cash Equivalents,CC-150,96801.63,1258.42,0.013,C,Asset,Asset - Cash & Cash Equivalents,Cash Flow,2021-01-19,202101,2021,1,Payroll disbursement (Cash & Cash Equivalents),ORD2021017970,Consolidation,system_bot,2021-01-22 00:00:00
20210112,9,3,,POST2021010016D,JRN2021010016,102000,Cash & Cash Equivalents,CC-192,760767.66,9889.98,0.013,D,Asset,Asset - Cash & Cash Equivalents,Cash Flow,2021-01-12,202101,2021,1,Customer payment received (Cash & Cash Equivalents),PO2021013489,Finance,fin_user28,2021-01-10 00:00:00
20210112,9,3,,POST2021010016C,JRN2021010016,101000,Accounts Receivable - Trade,CC-132,760767.66,9889.98,0.013,C,Asset,Asset - Trade,Balance Sheet,2021-01-12,202101,2021,1,Customer payment received (Accounts Receivable - Trade),PO2021013489,Finance,fin_user28,2021-01-10 00:00:00
20210120,12,2,29.0,POST2021010017D,JRN2021010017,100000,Inventory - Finished Goods,CC-195,972853.97,12647.1,0.013,D,Asset,Asset - Finished Goods,Balance Sheet,2021-01-20,202101,2021,1,Vendor receipt capitalization (Inventory - Finished Goods),ORD2021015166,AutoBatch,system_bot,2021-01-19 00:00:00
20210120,12,2,29.0,POST2021010017C,JRN2021010017,200000,Accounts Payable - Trade,CC-112,972853.97,12647.1,0.013,C,Liability,Liability - Trade,Balance Sheet,2021-01-20,202101,2021,1,Vendor receipt capitalization (Accounts Payable - Trade),ORD2021015166,AutoBatch,system_bot,2021-01-19 00:00:00
20210120,19,4,,POST2021010018D,JRN2021010018,101000,Accounts Receivable - Trade,CC-144,420105.53,5461.37,0.013,D,Asset,Asset - Trade,Balance Sheet,2021-01-20,202101,2021,1,Sales revenue posting (Accounts Receivable - Trade),PO2021013770,Finance,fin_user29,2021-01-23 00:00:00
20210120,19,4,,POST2021010018C,JRN2021010018,400000,Sales Revenue - Domestic,CC-107,2318185.1804167028,30136.396916204285,0.013,C,Revenue,Revenue - Domestic,P&L,2021-01-20,202101,2021,1,Sales revenue posting (Sales Revenue - Domestic),PO2021013770,Finance,fin_user29,2021-01-23 00:00:00
20210119,2,2,,POST2021010019D,JRN2021010019,501000,Freight Expense - Inbound,CC-102,525437.9,6830.69,0.013,D,Expense,Expense - Inbound,P&L,2021-01-19,202101,2021,1,Inbound freight accrual (Freight Expense - Inbound),PO2021013406,Finance,fin_user09,2021-01-16 00:00:00
20210119,2,2,,POST2021010019C,JRN2021010019,200000,Accounts Payable - Trade,CC-183,525437.9,6830.69,0.013,C,Liability,Liability - Trade,Balance Sheet,2021-01-19,202101,2021,1,Inbound freight accrual (Accounts Payable - Trade),PO2021013406,Finance,fin_user09,2021-01-16 00:00:00
20210120,10,3,,POST2021010020D,JRN2021010020,502000,Marketing Expense - Promotions,CC-132,606585.52,7885.61,0.013,D,Expense,Expense - Promotions,P&L,2021-01-20,202101,2021,1,Marketing spend for promotions (Marketing Expense - Promotions),PO2021014720,Consolidation,fin_user12,2021-01-18 00:00:00
20210120,10,3,,POST2021010020C,JRN2021010020,200000,Accounts Payable - Trade,CC-135,606585.52,7885.61,0.013,C,Liability,Liability - Trade,Balance Sheet,2021-01-20,202101,2021,1,Marketing spend for promotions (Accounts Payable - Trade),PO2021014720,Consolidation,fin_user12,2021-01-18 00:00:00
20210112,10,3,,POST2021010021D,JRN2021010021,503000,Payroll Expense - Store Ops,CC-186,509487.19,6623.33,0.013,D,Expense,Expense - Store Ops,P&L,2021-01-12,202101,2021,1,Payroll disbursement (Payroll Expense - Store Ops),RC20210156663,Finance,system_bot,2021-01-14 00:00:00
20210112,10,3,,POST2021010021C,JRN2021010021,102000,Cash & Cash Equivalents,CC-194,509487.19,6623.33,0.013,C,Asset,Asset - Cash & Cash Equivalents,Cash Flow,2021-01-12,202101,2021,1,Payroll disbursement (Cash & Cash Equivalents),RC20210156663,Finance,system_bot,2021-01-14 00:00:00
20210110,5,4,11.0,POST2021010022D,JRN2021010022,500000,COGS Expense - Retail Segment,CC-189,567744.7,7380.68,0.013,D,Expense,Expense - Retail Segment,P&L,2021-01-10,202101,2021,1,COGS recognition on sale (COGS Expense - Retail Segment),RC20210192844,AutoBatch,fin_user17,2021-01-07 00:00:00
20210110,5,4,11.0,POST2021010022C,JRN2021010022,100000,Inventory - Finished Goods,CC-132,567744.7,7380.68,0.013,C,Asset,Asset - Finished Goods,Balance Sheet,2021-01-10,202101,2021,1,COGS recognition on sale (Inventory - Finished Goods),RC20210192844,AutoBatch,fin_user17,2021-01-07 00:00:00
20210115,12,4,49.0,POST2021010023D,JRN2021010023,500000,COGS Expense - Retail Segment,CC-197,890802.43,11580.43,0.013,D,Expense,Expense - Retail Segment,P&L,2021-01-15,202101,2021,1,Month-end COGS accrual (COGS Expense - Retail Segment),RC20210184335,Consolidation,system_bot,2021-01-13 00:00:00
20210115,12,4,49.0,POST2021010023C,JRN2021010023,201000,Accrued Expenses,CC-147,890802.43,11580.43,0.013,C,Liability,Liability - Accrued Expenses,Balance Sheet,2021-01-15,202101,2021,1,Month-end COGS accrual (Accrued Expenses),RC20210184335,Consolidation,system_bot,2021-01-13 00:00:00
20210112,13,2,20.0,POST2021010024D,JRN2021010024,500000,COGS Expense - Retail Segment,CC-164,927099.8,12052.3,0.013,D,Expense,Expense - Retail Segment,P&L,2021-01-12,202101,2021,1,Month-end COGS accrual (COGS Expense - Retail Segment),PO2021013489,Consolidation,fin_user01,2021-01-14 00:00:00
20210112,13,2,20.0,POST2021010024C,JRN2021010024,201000,Accrued Expenses,CC-122,927099.8,12052.3,0.013,C,Liability,Liability - Accrued Expenses,Balance Sheet,2021-01-12,202101,2021,1,Month-end COGS accrual (Accrued Expenses),PO2021013489,Consolidation,fin_user01,2021-01-14 00:00:00
20210119,12,1,,POST2021010025D,JRN2021010025,101000,Accounts Receivable - Trade,CC-170,601360.35,7817.68,0.013,D,Asset,Asset - Trade,Balance Sheet,2021-01-19,202101,2021,1,Sales revenue posting (Accounts Receivable - Trade),RC20210146263,Finance,fin_user46,2021-01-18 00:00:00
20210119,12,1,,POST2021010025C,JRN2021010025,400000,Sales Revenue - Domestic,CC-194,2443754.252550381,31768.786793273062,0.013,C,Revenue,Revenue - Domestic,P&L,2021-01-19,202101,2021,1,Sales revenue posting (Sales Revenue - Domestic),RC20210146263,Finance,fin_user46,2021-01-18 00:00:00
20210120,16,3,,POST2021010026D,JRN2021010026,502000,Marketing Expense - Promotions,CC-183,166867.4,2169.28,0.013,D,Expense,Expense - Promotions,P&L,2021-01-20,202101,2021,1,Marketing spend for promotions (Marketing Expense - Promotions),PO2021011916,ERP,fin_user20,2021-01-18 00:00:00
20210120,16,3,,POST2021010026C,JRN2021010026,200000,Accounts Payable - Trade,CC-147,166867.4,2169.28,0.013,C,Liability,Liability - Trade,Balance Sheet,2021-01-20,202101,2021,1,Marketing spend for promotions (Accounts Payable - Trade),PO2021011916,ERP,fin_user20,2021-01-18 00:00:00
20210119,6,4,16.0,POST2021010027D,JRN2021010027,500000,COGS Expense - Retail Segment,CC-104,16820.2,218.66,0.013,D,Expense,Expense - Retail Segment,P&L,2021-01-19,202101,2021,1,COGS recognition on sale (COGS Expense - Retail Segment),ORD2021013767,AutoBatch,fin_user15,2021-01-22 00:00:00
20210119,6,4,16.0,POST2021010027C,JRN2021010027,100000,Inventory - Finished Goods,CC-181,16820.2,218.66,0.013,C,Asset,Asset - Finished Goods,Balance Sheet,2021-01-19,202101,2021,1,COGS recognition on sale (Inventory - Finished Goods),ORD2021013767,AutoBatch,fin_user15,2021-01-22 00:00:00
20210112,11,1,,POST2021010028D,JRN2021010028,503000,Payroll Expense - Store Ops,CC-189,467730.79,6080.5,0.013,D,Expense,Expense - Store Ops,P&L,2021-01-12,202101,2021,1,Payroll disbursement (Payroll Expense - Store Ops),ORD2021011910,Finance,system_bot,2021-01-13 00:00:00
20210112,11,1,,POST2021010028C,JRN2021010028,102000,Cash & Cash Equivalents,CC-134,467730.79,6080.5,0.013,C,Asset,Asset - Cash & Cash Equivalents,Cash Flow,2021-01-12,202101,2021,1,Payroll disbursement (Cash & Cash Equivalents),ORD2021011910,Finance,system_bot,2021-01-13 00:00:00
20210120,16,4,,POST2021010029D,JRN2021010029,101000,Accounts Receivable - Trade,CC-138,486791.02,6328.28,0.013,D,Asset,Asset - Trade,Balance Sheet,2021-01-20,202101,2021,1,Sales revenue posting (Accounts Receivable - Trade),RC20210141529,AutoBatch,fin_user28,2021-01-21 00:00:00
20210120,16,4,,POST2021010029C,JRN2021010029,400000,Sales Revenue - Domestic,CC-135,1786298.9269863125,23221.87408812295,0.013,C,Revenue,Revenue - Domestic,P&L,2021-01-20,202101,2021,1,Sales revenue posting (Sales Revenue - Domestic),RC20210141529,AutoBatch,fin_user28,2021-01-21 00:00:00
20210116,9,4,,POST2021010030D,JRN2021010030,502000,Marketing Expense - Promotions,CC-197,723732.31,9408.52,0.013,D,Expense,Expense - Promotions,P&L,2021-01-16,202101,2021,1,Marketing spend for promotions (Marketing Expense - Promotions),RC20210178990,AutoBatch,system_bot,2021-01-14 00:00:00
20210116,9,4,,POST2021010030C,JRN2021010030,200000,Accounts Payable - Trade,CC-128,723732.31,9408.52,0.013,C,Liability,Liability - Trade,Balance Sheet,2021-01-16,202101,2021,1,Marketing spend for promotions (Accounts Payable - Trade),RC20210178990,AutoBatch,system_bot,2021-01-14 00:00:00
20210119,14,5,,POST2021010031D,JRN2021010031,102000,Cash & Cash Equivalents,CC-138,239317.65,3111.13,0.013,D,Asset,Asset - Cash & Cash Equivalents,Cash Flow,2021-01-19,202101,2021,1,Customer payment received (Cash & Cash Equivalents),PO2021015365,AutoBatch,system_bot,2021-01-22 00:00:00
20210119,14,5,,POST2021010031C,JRN2021010031,101000,Accounts Receivable - Trade,CC-112,239317.65,3111.13,0.013,C,Asset,Asset - Trade,Balance Sheet,2021-01-19,202101,2021,1,Customer payment received (Accounts Receivable - Trade),PO2021015365,AutoBatch,system_bot,2021-01-22 00:00:00
20210111,13,3,,POST2021010032D,JRN2021010032,501000,Freight Expense - Inbound,CC-192,29686.35,385.92,0.013,D,Expense,Expense - Inbound,P&L,2021-01-11,202101,2021,1,Inbound freight accrual (Freight Expense - Inbound),PO2021016407,AutoBatch,fin_user09,2021-01-11 00:00:00
20210111,13,3,,POST2021010032C,JRN2021010032,200000,Accounts Payable - Trade,CC-191,29686.35,385.92,0.013,C,Liability,Liability - Trade,Balance Sheet,2021-01-11,202101,2021,1,Inbound freight accrual (Accounts Payable - Trade),PO2021016407,AutoBatch,fin_user09,2021-01-11 00:00:00
20210119,14,1,,POST2021010033D,JRN2021010033,102000,Cash & Cash Equivalents,CC-156,260263.97,3383.43,0.013,D,Asset,Asset - Cash & Cash Equivalents,Cash Flow,2021-01-19,202101,2021,1,Customer payment received (Cash & Cash Equivalents),ORD2021014042,Consolidation,system_bot,2021-01-20 00:00:00
20210119,14,1,,POST2021010033C,JRN2021010033,101000,Accounts Receivable - Trade,CC-171,260263.97,3383.43,0.013,C,Asset,Asset - Trade,Balance Sheet,2021-01-19,202101,2021,1,Customer payment received (Accounts Receivable - Trade),ORD2021014042,Consolidation,system_bot,2021-01-20 00:00:00
20210116,17,1,11.0,POST2021010034D,JRN2021010034,500000,COGS Expense - Retail Segment,CC-145,426200.48,5540.61,0.013,D,Expense,Expense - Retail Segment,P&L,2021-01-16,202101,2021,1,COGS recognition on sale (COGS Expense - Retail Segment),PO2021019062,Consolidation,fin_user07,2021-01-18 00:00:00
20210116,17,1,11.0,POST2021010034C,JRN2021010034,100000,Inventory - Finished Goods,CC-102,426200.48,5540.61,0.013,C,Asset,Asset - Finished Goods,Balance Sheet,2021-01-16,202101,2021,1,COGS recognition on sale (Inventory - Finished Goods),PO2021019062,Consolidation,fin_user07,2021-01-18 00:00:00
20210118,13,4,,POST2021010035D,JRN2021010035,101000,Accounts Receivable - Trade,CC-107,604263.8,7855.43,0.013,D,Asset,Asset - Trade,Balance Sheet,2021-01-18,202101,2021,1,Sales revenue posting (Accounts Receivable - Trade),PO2021013744,ERP,system_bot,2021-01-19 00:00:00
20210118,13,4,,POST2021010035C,JRN2021010035,400000,Sales Revenue - Domestic,CC-198,2455740.010590704,31924.62257609099,0.013,C,Revenue,Revenue - Domestic,P&L,2021-01-18,202101,2021,1,Sales revenue posting (Sales Revenue - Domestic),PO2021013744,ERP,system_bot,2021-01-19 00:00:00
20210112,8,3,,POST2021010036D,JRN2021010036,102000,Cash & Cash Equivalents,CC-188,727185.83,9453.42,0.013,D,Asset,Asset - Cash & Cash Equivalents,Cash Flow,2021-01-12,202101,2021,1,Customer payment received (Cash & Cash Equivalents),PO2021015784,AutoBatch,system_bot,2021-01-12 00:00:00
20210112,8,3,,POST2021010036C,JRN2021010036,101000,Accounts Receivable - Trade,CC-151,727185.83,9453.42,0.013,C,Asset,Asset - Trade,Balance Sheet,2021-01-12,202101,2021,1,Customer payment received (Accounts Receivable - Trade),PO2021015784,AutoBatch,system_bot,2021-01-12 00:00:00
20210111,1,3,9.0,POST2021010037D,JRN2021010037,500000,COGS Expense - Retail Segment,CC-128,821308.73,10677.01,0.013,D,Expense,Expense - Retail Segment,P&L,2021-01-11,202101,2021,1,Month-end COGS accrual (COGS Expense - Retail Segment),PO2021011190,AutoBatch,fin_user12,2021-01-12 00:00:00
20210111,1,3,9.0,POST2021010037C,JRN2021010037,201000,Accrued Expenses,CC-190,821308.73,10677.01,0.013,C,Liability,Liability - Accrued Expenses,Balance Sheet,2021-01-11,202101,2021,1,Month-end COGS accrual (Accrued Expenses),PO2021011190,AutoBatch,fin_user12,2021-01-12 00:00:00
20210114,6,2,,POST2021010038D,JRN2021010038,501000,Freight Expense - Inbound,CC-105,77155.84,1003.03,0.013,D,Expense,Expense - Inbound,P&L,2021-01-14,202101,2021,1,Inbound freight accrual (Freight Expense - Inbound),PO2021015191,AutoBatch,fin_user03,2021-01-13 00:00:00
20210114,6,2,,POST2021010038C,JRN2021010038,200000,Accounts Payable - Trade,CC-165,77155.84,1003.03,0.013,C,Liability,Liability - Trade,Balance Sheet,2021-01-14,202101,2021,1,Inbound freight accrual (Accounts Payable - Trade),PO2021015191,AutoBatch,fin_user03,2021-01-13 00:00:00
20210116,14,1,39.0,POST2021010039D,JRN2021010039,500000,COGS Expense - Retail Segment,CC-130,840628.05,10928.16,0.013,D,Expense,Expense - Retail Segment,P&L,2021-01-16,202101,2021,1,COGS recognition on sale (COGS Expense - Retail Segment),PO2021018998,ERP,system_bot,2021-01-18 00:00:00
20210116,14,1,39.0,POST2021010039C,JRN2021010039,100000,Inventory - Finished Goods,CC-177,840628.05,10928.16,0.013,C,Asset,Asset - Finished Goods,Balance Sheet,2021-01-16,202101,2021,1,COGS recognition on sale (Inventory - Finished Goods),PO2021018998,ERP,system_bot,2021-01-18 00:00:00
20210118,8,4,,POST2021010040D,JRN2021010040,503000,Payroll Expense - Store Ops,CC-165,624345.65,8116.49,0.013,D,Expense,Expense - Store Ops,P&L,2021-01-18,202101,2021,1,Payroll disbursement (Payroll Expense - Store Ops),ORD2021015461,AutoBatch,fin_user27,2021-01-17 00:00:00
20210118,8,4,,POST2021010040C,JRN2021010040,102000,Cash & Cash Equivalents,CC-103,624345.65,8116.49,0.013,C,Asset,Asset - Cash & Cash Equivalents,Cash Flow,2021-01-18,202101,2021,1,Payroll disbursement (Cash & Cash Equivalents),ORD2021015461,AutoBatch,fin_user27,2021-01-17 00:00:00
20210110,12,3,3.0,POST2021010041D,JRN2021010041,500000,COGS Expense - Retail Segment,CC-151,121801.53,1583.42,0.013,D,Expense,Expense - Retail Segment,P&L,2021-01-10,202101,2021,1,COGS recognition on sale (COGS Expense - Retail Segment),ORD2021014787,Finance,system_bot,2021-01-13 00:00:00
20210110,12,3,3.0,POST2021010041C,JRN2021010041,100000,Inventory - Finished Goods,CC-190,121801.53,1583.42,0.013,C,Asset,Asset - Finished Goods,Balance Sheet,2021-01-10,202101,2021,1,COGS recognition on sale (Inventory - Finished Goods),ORD2021014787,Finance,system_bot,2021-01-13 00:00:00
20210118,12,5,,POST2021010042D,JRN2021010042,102000,Cash & Cash Equivalents,CC-146,324879.24,4223.43,0.013,D,Asset,Asset - Cash & Cash Equivalents,Cash Flow,2021-01-18,202101,2021,1,Customer payment received (Cash & Cash Equivalents),PO2021016490,AutoBatch,system_bot,2021-01-21 00:00:00
20210118,12,5,,POST2021010042C,JRN2021010042,101000,Accounts Receivable - Trade,CC-179,324879.24,4223.43,0.013,C,Asset,Asset - Trade,Balance Sheet,2021-01-18,202101,2021,1,Customer payment received (Accounts Receivable - Trade),PO2021016490,AutoBatch,system_bot,2021-01-21 00:00:00
20210115,19,1,,POST2021010043D,JRN2021010043,102000,Cash & Cash Equivalents,CC-112,856080.03,11129.04,0.013,D,Asset,Asset - Cash & Cash Equivalents,Cash Flow,2021-01-15,202101,2021,1,Customer payment received (Cash & Cash Equivalents),ORD2021011903,AutoBatch,fin_user24,2021-01-12 00:00:00
20210115,19,1,,POST2021010043C,JRN2021010043,101000,Accounts Receivable - Trade,CC-148,856080.03,11129.04,0.013,C,Asset,Asset - Trade,Balance Sheet,2021-01-15,202101,2021,1,Customer payment received (Accounts Receivable - Trade),ORD2021011903,AutoBatch,fin_user24,2021-01-12 00:00:00
20210116,20,1,1.0,POST2021010044D,JRN2021010044,100000,Inventory - Finished Goods,CC-150,558605.15,7261.87,0.013,D,Asset,Asset - Finished Goods,Balance Sheet,2021-01-16,202101,2021,1,Vendor receipt capitalization (Inventory - Finished Goods),ORD2021013550,Consolidation,fin_user14,2021-01-18 00:00:00
20210116,20,1,1.0,POST2021010044C,JRN2021010044,200000,Accounts Payable - Trade,CC-192,558605.15,7261.87,0.013,C,Liability,Liability - Trade,Balance Sheet,2021-01-16,202101,2021,1,Vendor receipt capitalization (Accounts Payable - Trade),ORD2021013550,Consolidation,fin_user14,2021-01-18 00:00:00
20210111,9,1,30.0,POST2021010045D,JRN2021010045,500000,COGS Expense - Retail Segment,CC-120,371315.5,4827.1,0.013,D,Expense,Expense - Retail Segment,P&L,2021-01-11,202101,2021,1,Month-end COGS accrual (COGS Expense - Retail Segment),RC20210165590,Finance,fin_user38,2021-01-14 00:00:00
